Station Name,Agency Name,State Name,District,Basin Name,Sub Basin Name,Date Collection,Longitude,Latitude,k,cl,ca,hco3,mg,f,ph_gen,Level (m)
Maski A,CGWB,Karnataka,Raichur,Krishna Basin,Krishna Middle,2019,77.27083333,16.27083333,177.5,56,396.5,53.416,1615,130.1,8.221,NaN
Mavinagundi,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.78333333,14.25277778,14.2,14,67,7.26,152,9.6,7.65,NaN
Melukote1,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2019,76.64722222,12.65555556,182,34,430,87.552,1359,154,8.01,NaN
Moga  Buzurga,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2019,76.46666667,17.51666667,156.2,16,97.6,77.824,1504,198.5,8.451,NaN
Mudbal,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2019,76.79333333,16.8,85.2,30,225.7,25.536,785,100.1,7.815,NaN
Mudhol A,CGWB,Karnataka,Bagalkot,Krishna Basin,Krishna Upper,2019,75.27611111,16.33944444,788.1,236,137.25,182.1,3720,301.1,7.83,NaN
Mugad,CGWB,Karnataka,Dharwad,West flowing rivers from Tapi to Tadri Basin,Vasishti and others,2019,74.9,15.44166667,210,56,118,42.56,1245,126,8.23,NaN
Mulbagal Dw,CGWB,Karnataka,Kolar,East flowing rivers between Pennar and Kanyakumari Basin,Palar and other,2019,78.38944444,13.16111111,208,40,152.5,31.46,1414,188,9,NaN
Mundargi,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2019,77.21666667,16.76666667,28.4,6,48.8,3.63,220,30,9.579,NaN
Murudeswar,CGWB,Karnataka,Uttara Kannada,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.49166667,14.09166667,74.55,18,42.7,15.73,480,50,8.63,NaN
Mustoor,CGWB,Karnataka,Raichur,Krishna Basin,Krishna Upper,2019,77.01666667,16.3125,184.6,40,451.4,43.704,1655,259.8,8.463,NaN
Nagamangala2,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2019,76.75833333,12.825,17.75,8,297.855,15.808,542,113.125,7.84,NaN
Naguvanahalli,CGWB,Karnataka,Mandya,Cauvery Basin,Cauvery Middle,2019,76.68333333,12.38888889,36,8,78,15.808,310,45,9.981,NaN
Namagondlu,CGWB,Karnataka,Kolar,Pennar Basin,Pennar Upper,2019,77.60833333,13.58333333,237.85,82,291,59.29,1501,119,8.72,NaN
Nandanavana,CGWB,Karnataka,Udupi,West flowing rivers from Tadri to Kanyakumari Basin,Netravati and others,2019,74.63444444,13.81972222,42.6,6,24.4,7.26,300,32,8.276,NaN
Nargund1,CGWB,Karnataka,Gadag,Krishna Basin,Krishna Upper,2019,75.38333333,15.72916667,1435,176,325,330.752,5340,296,7.84,NaN
Narnal,CGWB,Karnataka,Kalaburagi,Krishna Basin,Bhima Lower,2019,77.26055556,17.50638889,71,32,183,46.208,599,30.97,8.253,NaN
Navile,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Middle,2019,76.475,13.09444444,21,36,342,51,443,35,8.45,NaN
Naymanahalli,CGWB,Karnataka,Hassan,Cauvery Basin,Cauvery Upper,2019,76.1625,12.85888889,131,112,317,73,1238,54,9.42,NaN
Neerkolli,CGWB,Karnataka,Kodagu,Cauvery Basin,Cauvery Upper,2019,75.76,12.40583333,24.85,42,61,8.512,240,10,8.1,NaN
